notation,prefLabel,altLabel,definition,broader,related,source,closeMatch,relatedMatch,seeAlso,broadMatch,narrower 
GGD66G,Wasserschaden@de,Überschwemmung@de|Wassereinbruch@de,Durch den Kontakt zu Wasser herbeigeführte Schäden an einem Objekt,F964CG,,,,,,,
D171FF,Feuerschaden@de,Brandschaden@de,Durch einen Brand bzw. den Kontakt zu Feuer/Hitze herbeigeführte Schäden an einem Objekt,F964CG,,,,,,,
B2ADB6,Vandalismus@de,anthropogene Schädigung@de,Durch Menschen mutwillig herbeigeführte Schädigung eines Objektes,F964CG,,,,,,,
C64BC8,Klimaschaden@de,Klima@de,"Schadensphänomen, das durch klimatische Faktoren verursacht oder verschlimmert wird (Feuchtigkeit und Temperatur, bzw. deren Schwankungen)",F964CG,,,,,,,
FAFCF5,Schaden durch mechanische Beanspruchung@de,Abnutzung@de|Verschleiß@de,Durch mechanische Einwirkung hervorgerufene kumulative Schädigung des Objektes. Häufig vor allem auf die Objektoberfläche bezogen.,F964CG,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
AD3A34,Verwitterung@de,,Schädigung durch negative Einwirkung der Bedingungen im Freien,F964CG,,,,,,,
D16G86,Korrosionsinduzierter Schaden@de,,Durch chemische Reaktion des Materials mit seiner Umgebung verursachter Schaden,F964CG,,,,,,,
A889A3,Verschmutzung@de,Schmutz@de|Ablagerung@de,"Schadensphänomen, das durch Ablagerung unerwünschter Substanz die Lesbarkeit des Objektes vermindert",F964CG,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
D28G9A,Erdanhaftungen@de,Erdreste@de,mehr oder weniger fest anhaftende Bodenbestandteile. Hauptsächlich an frisch geborgenen Objekten festzustellen.,A889A3,,,,,,,
F8915F,Versinterung@de,,Mehr oder weniger Fest an der Oberfläche anhaftende Sinterschichten.,A889A3,,,,,,,
A14228,Verkrustung@de,,Fest an der Oberfläche des Objektes anhaftende und verhärtete Ansammlung von Fremdsubstanz,A889A3,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
D74F16,Staubablagerung@de,,"Lose, auf der Oberfläche des Objektes angesammelte Ablagerung von luftgetragenen Partikeln",A889A3,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
FDD71B,Salzbelastung@de,Salzsprengung@de,"Schadensphänomen, das durch das Vorhandensein löslicher Salze in einem Objekt/Material verursacht wird",F964CG,,,,,,,
GDF8C2,Physischer Objektzustand@de|physical condition@en,Merkmale@de|Beschaffenheit@de,Die konkreten Merkmale und Eigenschaften eines Objektes,BC5B57,,,,http://vocab.getty.edu/aat/300389724,,,
CAB799,Vollständigkeit@de|integrity@en,Integrität@de|completeness@en,Ausmaß an materieller Ganzheitlichkeit eines Objektes.,GDF8C2,,,http://vocab.getty.edu/aat/300419305,,,,
F573A5,vollständig@de,,"Zustand, bei dem alle ursprünglichen Teile des Objektes vorhanden sind.",CAB799,,,,,,,
GAD71G,unvollständig@de,,"Zustand, bei dem ursprüngliche Teile des Objektes fehlen.",CAB799,,,,,,,
FB6AGB,Stabilität@de|stability@en,,Fahigkeit eines Objektes auch bei physischer Einwirkung seine Form oder Struktur bei zu behalten,GDF8C2,,"DIN EN 15898:2020-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe; Dreisprachige Fassung EN 15898:2019, Deutsches Institut für Normung.",,,,,
D79DA6,stabil@de|stable@en,,"Zustand des Objekt, bei dem es fähig ist seine Form und Struktur zu behalten und gegenüber äußeren Einwirkung, wie mechanischen Kärften oder chemischen Prozessen stand zu halten. Ein stabiles Objekt ist weniger anfällig für Beschädigungen, bleibt über einen längeren Zeitraum hinweg in gutem Erhaltungszustand und kann demnach ohne weitere Stabilisierungsmaßnahmen gehändelt werden.",FB6AGB,,,,,,,
FBA99A,instabil@de|instable@en,,"mangelnde Fähigkeit des Objektes in einem stabilem Zustand zu bleiben. Das Objekt droht durch physische Faktoren, wie äußere Kräfte oder unzureichende Unterstützung seine Form oder Struktur zu verändern/verlieren. Es bedarf demnach entsprechende Stabilisierungsmaßnahmen, um in seiner ursprünglichen Form zu bleiben. Die Instabilität seines Objektes liegt häufig in der Fragilität bzw. mangelnden Festigkeit seines Werkstoffes begründet.",FB6AGB,DG7A1D,,,,,,
AGBB3C,Festigkeit@de,,Fähigkeit des Objektwerkstoffs mechanischen Widerstand gegen eine plastische Verformung oder Trennung zu leisten,GDF8C2,,,,,,,
DG7A1D,fragil@de,,"Anfälligkeit des Objektwerkstoffs für Kohäsionsverlust. Das Material des Objektes ist leicht zerbrechlich oder empfindlich gegenüber physischer Einflüsse wie Stöße, Druck oder andere mechanischer Belastung. Ein Objekt dessen Werkstoff fragil ist, ist meistens in sich auch instabil, da es durch die Materialschwächung bei weiterer physischer Einwirkung nicht in der Lage ist seine ursprüngliche Form zu behalten.",AGBB3C,FBA99A,,,,,,
DB581C,zugfest@de,,Das Objektmaterial zeigt eine gute Festigkeit und Widerstandsfähigkeit gegen ziehende Kräfte,AGBB3C,,,,,,,
G2A47C,druckfest@de,,Das Objektmaterial zeigt eine gute Festigkeit und Widerstandsfähigkeit gegen Druckbelastung,AGBB3C,,,,,,,
G2F586,biegefest@de,,Das Objektmaterial zeigt eine gute Festigkeit und Widerstandsfähigkeit gegen Biegung und lässt sich nicht leicht durchbiegen.,AGBB3C,,,,,,,
G147AG,schlagfest@de,,Das Objektmaterial zeigt eine gute Festigkeit und Widerstandsfähigkeit gegen Stöße und plötzliche Belastungen,AGBB3C,,,,,,,
BF6339,weich@de,,"Das Objektmaterial zeigt eine geringe Festigkeit, ist leicht verformbar und bietet wenig Widerstand gegen mechanische Belastung wie Druck oder Kratzer.",AGBB3C,,,,,,,
FBG2B1,hart@de,,"Das Objektmaterial zeigt eine überaus hohe Festigkeit und ist somit sehr Wiederstandsfähig gegen Verformung, Kratzer oder Eindringen.",AGBB3C,,,,,,,
AF5C86,spröde@de,mürbe@de,Das Objektmaterial zeigt eine geringe Festigkeit und Widerstandsfähigkeit gegen Verformung. Es neigt bei anhaltender Belastung zu plötzlichem Bruch ohne vorherige elastische Verformung.,AGBB3C,,,,,,,
BCG421,elastisch@de,,"Das Objektmaterial zeigt eine geringe Festigkeit, aber gute Widerstandsfähigkeit gegenüber dauerhafter Verformung. Es ist fähig, nach der Verformung in seine ursprüngliche Form zurückzukehren.",AGBB3C,,,,,,,
C6GB1C,Veränderung@de|alteration@en,,"Änderung des Zustandes eines Objektes, unabhängig ob diese vorteilhaft oder nicht, beabsichtigt oder nicht ist/war.",GDF8C2,,"DIN EN 15898:2020-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe; Dreisprachige Fassung EN 15898:2019, Deutsches Institut für Normung.",,,,,
G43DBC,beschädigt@de,Beschädigung@de|Schaden@de,"Das Objekt weist eine ungewollte, negative Veränderung im Vergleich zu seinem ursprünglichen Aussehen auf, die die wissenschaftliche Aussagekraft des Objektes mindert.",C6GB1C,,"DIN EN 15898:2020-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe; Dreisprachige Fassung EN 15898:2019, Deutsches Institut für Normung.",,,,,
C77G9C,gealtert@de,,"An dem Objekt sind Spuren der Veränderung zu beobachten, die auf verschiedenste Einflüsse im Laufe der Lebensgeschichte (der Alterung) des Objektes zurück zu führen sind. Eine alterungsbedingte Veränderung ist nicht zwangsläufig als Beschädigung, sondern unter Umständen als aussagekräftiger Teil der Objektbiographie zu werten.",C6GB1C,,"DIN EN 15898:2020-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe; Dreisprachige Fassung EN 15898:2019, Deutsches Institut für Normung.",,,,,
CC2F9C,historische Beschädigung@de,antike Beschädigung@de,"Beeinträchtigung eines Objektes, die bereits vor der Bodenlagerung, d.h. in der historischen Geschichte des Objektes, entstanden ist. Eine solche Beeinträchtigung kann infolge der Konzeption, des Herstellungsverfahrens oder der historischen Verwendung auftreten. Sie liefert wichtige Informationen über den kulturellen und historischen Kontext sowie über die technologischen Fähigkeiten der Menschen, die das Objekt hergestellt oder verwendet haben, tragen somit zur wissenschaftlichen Aussagekraft des Objektes bei und bedürfen in der Regel keiner konservatorischen oder restauratorischen Behandlung.",C6GB1C,,,,,,,
A5D63G,altrestauriert@de,vorbehandelt@de,"An dem Objekt sind Spuren der Veränderung festzustellen, die auf eine (oder mehrere) vorherige Konservierungs- bzw. Restaurierungsmaßnahme hindeuten.",C6GB1C,,,,,,,
G9D1C8,Maße@de,,Die Abmessungen des Objektes,GDF8C2,,,,,,,
AG4397,Feuchtigkeitsgehalt@de|moisture content@en,Wassergehalt@de|humidity content@en,Enthaltener Feuchtigkeitsanteil im Porenraum eines Materials/Objektes,GDF8C2,,,http://vocab.getty.edu/aat/300379432,,,,
G41GC6,Trocken (Objektzustand)@de|dry@en,,Das Materialgefüge/der Porenraum des Objektes oder dessen Oberfläche weisen keinen Wassergehalt auf.,AG4397,,,http://vocab.getty.edu/aat/300195439,,,,
FDB9F5,Feucht (Objektzustand)@de|moist@en,,Das Materialgefüge/der Porenraum des Objektes oder dessen Oberfläche weisen einen leichten bis mittelstarken Wassergehalt auf.,AG4397,,,,,,,
A255FD,Nass (Objektzustand)@de|wet@en,Wassergesättigt@de,Das Materialgefüge/der Porenraum des Objektes ist vollständig mit Wasser gesättigt.,AG4397,,,http://vocab.getty.edu/aat/300228711,,,,
DAC996,Schadensphänomen@de|Damage type@en,Schadensbild@de|Beschädigungsart@de,Art der beobachteten negativen Veränderungen des Objekts im Vergleich zu seinem als ursprünglich angenommenen Zustandes.,BC5B57,,,,,,,
B224CD,Formänderung@de,,"Das Objekt zeigte eine mehr oder weniger stark ausgeprägte Veränderung seiner ursprünglichen oder als ursprünglich angesehenen Form, ohne Verlust des strukturellen Zusammenhalts.",DAC996,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
G7D438,blasig@de,Blasenbildung@de,"Das Objekt weist eine gewölbte Oberfläche bzw. mehrere oberflächliche Wölbungen mit Hohlraum darunter auf. Der Hohlraum kann Gas, Flüssigkeit und/oder feste Stoffe enthalten.",B224CD,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
A21DB2,aufgeraut (Schadensphänomen)@de,Aufrauhung@de,Das Objekt weist eine zunehmend ungleichmäßiger werdende Oberfläche auf.,B224CD,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
C7859F,ausgedehnt@de,Quellung@de,Das Objekt zeigt eine Vergrößerung seiner Abmessungen im Vergleich zu seinen ursprünglichen Maßen. Diese kann durch Veränderungen des Objektmaterial selbst oder durch Hinzufügen von Fremdmaterial erfolgt sein.,B224CD,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
G23692,geschrumpft@de,Schwindung@de,Das Objekt zeigt eine Verkleinerung seiner Abmessungen im Vergleich zu seinen ursprünglichen Maßen.,B224CD,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
A8D9GF,deformiert@de,Verformung@de,Das Objekt zeigt eine oder mehrere bruchlose Veränderung(en) seiner ursprünglichen Form oder Abmessung.,B224CD,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
GAC37B,eingedrückt (Schadensphänomen)@de,eingedellt@de,Die Deformation des Objektes weist eine nach innen gerichtete Form auf.,A8D9GF,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
B89818,gewellt@de,bucklig@de|wellig@de,Das Objekt zeigt eine wellenförmige/bucklige Formänderung auf.,A8D9GF,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
FC4DGB,verworfen@de,,"Das Objekt weist eine in sich (gegeneinander) verschobene, unebene Fläche bzw. Form auf. Verwerfungen gehen häufig mit Brüchen einher.",A8D9GF,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
CF4199,verdreht@de,,Das Objekt zeigt eine um eine Achse herumlaufende Deformation,A8D9GF,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
C535G6,verbogen@de,,Das Objekt weist eine gekrümmte Deformation in einer Ebene auf,A8D9GF,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
ABB9FA,geknickt@de,gefaltet@de,Das Objekt zeigt eine scharf umgebogene Deformation,A8D9GF,,,,,,,
D3AGG6,visuelle Veränderung@de|visual alteration@en,optische Veränderung@de|optical alteration@en,Eine negative Veränderung des visuellen Erscheinungsbilds des Objektes,DAC996,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
FDC65D,fleckig@de,Fleckbildung@de,Das Objekt zeigt partielle farbliche Veränderungen der Oberfläche,D3AGG6,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
D8CBG2,eingetrübt@de,Trübung@de,"Das Objekt zeigt eine teilweise oder ganzheitliche Trübung der Oberfläche, bei der die Klarheit und Transparenz des ursprünglichen Aussehens verloren gegangen ist.",D3AGG6,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.| Sandra Davison, Conservation and Restoration of Glass (Oxford 2003) 2nd. ed, S. 183.",,,,,
GA2C4A,mattiert@de,Glanzverlust@de,Die vormals glänzende Oberfläche eines Objektes geht zunehmend in ein mattes Erscheinungsbild über.,D3AGG6,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
A4G8FA,farbverändert@de,Verfärbung@de,"Das Objekt zeigt in seiner Farbigkeit eine Änderung, die mindestend eine der drei Farbparameter Ton, Helligkeit oder Sättigung betrifft.",D3AGG6,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
G8GAA6,nachgedunkelt@de,verdunkelt@de,"Die Farbigkeit des Objektes zeigt eine Reduktion hinsichtlich des Lichtreflexionsvermögen, Tons und/oder Helligkeit",A4G8FA,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
ABCF99,verblasst@de,ausgeblichen@de,Die Farbigkeit des Objektes zeigt eine reduzierte Farbsättigung,A4G8FA,,,,,,,
GDCD91,vergilbt@de,verbräunt@de,"Die Farbigkeit des Objektes hat sich zu einem gelben, braunen bis goldbraunen Farbton verändert",A4G8FA,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
F4D633,irisierende Farbveränderung@de,schillernd@de,Bildung von bunt schillernden Flecken auf archäologischen Gläsern verursacht durch Auslaugungsprozesse der alkalireichen Bestandteile.,A4G8FA,,"Sandra Davison, Conservation and Restoration of Glass (Oxford 2003) 2nd. ed, S. 183.",,,,,
B86G16,Materialhinzufügung@de,Hinzufügung@de|Ablagerung@de|Anlagerung@de,"Hinzukommen von Material auf, an oder in ein Objekt als Ergebnis natürlicher Prozesse (z. B. Sediment, Staub) oder menschlicher Eingriffe (z. B. konservatorisch-restauratorische Maßnahmen). Der Begriff beschreibt das Vorhandensein zusätzlichen Materials, das nicht zum originalen Material des Objektes gehört.",DAC996,,"in Anlehnung an DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
F9F255,fettverschmiert@de,fettig@de,Die Oberfläche des Objekt zeigt einen klebrige Ablagerung von Fettpartikeln.,B86G16,,,,,,,
BBF64G,staubbedeckt@de,Staubbedeckung@de|Staubschicht@de,Ablagerung von Staubpartikeln auf der Objektoberfläche,B86G16,,,,,,,
BA75DG,salzausblühend@de,Salzausblühungen@de|salzbelastet@de|Effloreszenz@de|Kristallbildung@de,Kristalline Ausfällungen von Salzen auf oder im Objekt,B86G16,,,,,,,
B221BB,kontaminiert@de,,Das Objekt ist mit Gefahr-/Schadstoffen belastet.,BBF64G,,,,,,,
G57G31,biologisch bewachsen@de,mikrobiell bewachsen@de|biologischer Bewuchs@de,biologische Besiedlung des Objektes durch Mikro- oder Makroorganismen.,B86G16,,,,,,,
GD4F94,schimmelbedeckt@de,Schimmelbefall@de|schimmlig@de|Schimmelpilzbefall@de,Auf der Oberfläche des Objektes sind visuell sichtbare Ausbreitungen von Schimmelpilz vorhanden.,G57G31,,,,,,,
BG987D,weeping@de|weeping glas@en,schwitzendes Glas@de|Tröpfchenbildung@de|weinendes Glas@de,Bildung von Feuchtigkeitströpfchen bzw. -filmen auf der Oberfläche von Glas unter Umgebungsbedingungen mit hoher Luftfeuchtigkeit.,BBF64G,,"Sandra Davison, Conservation and Restoration of Glass (Oxford 2003) 2nd. ed, S. 178/179, 191.",,,,,
C82F3D,zuvor behandelt@de,rezente Ablagerungen@de|Spuren früherer Behandlung@de,"Auf der Objektoberfläche sind Reste rezenter Materialien, wie sie bei einer vorherigen Konservierung und/oder Restaurierung verwendet wurden, festzustellen.",BBF64G,,,,,,,
D48G16,rußbedeckt@de,Rußablagerung@de|verrußt@de|Ruß geschwärzt@de,Auf der Objektoberfläche zeigen sich schwarze Ablagerungen von Rußpartikeln.,B86G16,,,,,,,
FC7715,sedimentiert@de,Erdanhaftungen@de|Sedimentanhaftungen@de,"Das Objekt ist mit lockeren oder leicht verfestigten mineralischen Materialanhaftungen bedeckt. Meist aus feinkörnigen Bodenbestandteilen wie Sand, Schluff, Ton oder Schlamm, die sich durch die Bodenlagerung auf dem Objekt abgesetzt haben.",B86G16,,,,,,,
C3C616,verkrustet@de,überkrustet@de|Verkrustung@de,"Auf dem Objekt befinden sich fest haftende, harte Ablagerungen aus mineralischen und/oder organischen Bestandteilen. Auf archäologischen (Metall-)Objekten oft in Form von Konglomeraten aus Sediment und Korrosionsprodukten zu finden.",B86G16,,,,,,,
F473B6,abgelagert@de,Ablagerung@de|Anlagerung@de,generische Angaben zu jeglicher Form von fremdartiger Ablagerung von Material auf der Oberfläche des Objektes.,B86G16,,,,,,,
C188DA,Substanzverlust@de|Loss of substance@en,,"Material bzw. Teile des Objektes fehlen teilweise oder vollständig infolge physikalischer, chemischer, biologischer oder mechanischer Prozesse.",DAC996,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
A8588A,Fehlstellen aufweisend@de,löchrig@de|abgebrochen@de,Das Objekt ist unvollständig und besitzt eine oder mehrere Fehlstellen,C188DA,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
D45638,erodiert@de,Erosion@de,Durch die Einwirkung externer Faktoren schleichender Verlust von Oberflächenmaterial des Objektes.,C188DA,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
C36GDB,abgerieben@de,Abrieb@de,An der Objektoberfläche sind durch Reibungskräfte abgetragene Stellen festzustellen.,C188DA,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
D99GD4,zerkratzt@de,verkratzt@de|Kratzer (Schadensphänomen)@de,Durch die mechanische Einwirkung scharfer Kanten ist ein Materialverlust an der Objektoberfläche festzustellen.,C188DA,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
C5GCB6,zerfressen@de,Fressspuren@de,Materialverlust an/in einem Objekt verursacht durch Fressaktivitäten von Organismen.,C188DA,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
A77283,durchwurzelt@de,,Materialverlust durch Eindringen/Einwachsen von pflanzlichen Wurzeln in das Objekt,C188DA,,,,,,,
CB9GD3,Kohäsionsverlust@de,,"Der innere Zusammenhalt des Objektes ist geschwächt bis vollständig zerstört, das Material ist mechanisch schwach, bricht leicht, zerfällt oder ist bröselig.",DAC996,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
D9C8A4,zersetzt@de|degradation@en,Zersetzung@de,"Das Objekt bzw. sein Material ist durch fortschreitende physikalische, chemische oder biologische Prozesse in seiner inneren Struktur stark geschädigt. Der innere Zusammenhalt ist weitgehend verloren und kann bei mechanischer Belastung zum vollständigen Materialverlust führen. Der Begriff bildet",CB9GD3,,,,,,,
BC1DCG,verhärtet@de,Verhärtung@de,"Das Material des Objektes zeigt eine deutliche Steigerung der inneren Verfestigung, bis hin zur völligen Versteifung/Starrheit.",CB9GD3,,,,,,,
BGA41C,kollabiert@de,Kollaps@de|Zusammenbruch@de,"Das innere Materialgefüges eines Objektes ist vollkommen destabilisiert, was zu einem kompletten Zerfall der Struktur geführt hat.",CB9GD3,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
F6CG68,fragmentiert@de,Fragmentierung@de,"Das Objekt ist in ein oder mehrere Teile auseinandergefallen. Je nach Feinheitsgrad der entstandenen Fragmente, kann der Begriff weiter spezifiziert werden.",CB9GD3,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
B4C3B9,zerschnitten@de,Schnitt@de|verschnitten@de,Das Materialgefüge des Objektes ist unter Erzeugung einer scharf definierten Kante in zwei oder mehr Teile getrennt worden.,CB9GD3,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
G74A2D,gesprungen@de,gespalten@de|Sprung@de|Spalt@de,Das vormals fest gefügte Material weist eine Teilung ohne vollständiges Auseinanderbrechen des Objektes auf.,CB9GD3,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
FGG2C4,gebrochen@de,Bruch@de,Das vormals fest gefügte Material des Objektes weist eine vollkommene Trennung in zwei oder mehr lose Teile auf.,CB9GD3,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
GB33C3,gerissen@de,Riss@de,Das Materialgefüge des Objektes zeigt eine Abtrennung mit unregelmäßiger Kanten. Häufig verursacht durch Spannungsabbau im Gefüge.,CB9GD3,,"DIN CEN/TS 17135:2021-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe zur Beschreibung von Veränderungen an Objekten; Dreisprachige Fassung CEN/TS 17135:2020, Deutsches Institut für Normung.",,,,,
FA14C2,rissig@de,,"Das Materialgefüge des Objektes zeigt Risse, die jedoch nicht zu einer vollständigen Abtrennung geführt haben.",CB9GD3,,,,,,,
GD5454,Oberflächenriss@de,,"Das Objekt zeigt einen Riss, im Bereich seiner Oberfläche",FA14C2,,,,,,,
D937D1,Craquellée@de|crizzling@en,,"Im Objektmaterial oder auf dessen Oberfläche (Glasur) sind feine, netzartige Risse oder Haarrisse zu beobachten.",FA14C2,,,,,,,
BFAC52,Tiefenriss@de,,"Das Objekt zeigt mindestens einen Riss, der bis tief in das Material hineinreicht",FA14C2,,,,,,,
F2A5A7,Haarriss@de,,"Das Objekt zeigt einen sehr feinen, oberflächlichen Riss, der nur wenige Millimeter tief und breit ist.",FA14C2,,,,,,,
